price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,source_url
930000,19-Aug-26,mosman,1,1,1,74,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151841804
1600000,12-Aug-26,mosman,1,2,1,96,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151600636
1025000,3-Jul-26,mosman,1,2,1,102.2,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151263404
1450000,17-Jun-26,mosman,1,2,1,101,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-151376824
2380000,10-Jun-26,mosman,2,3,2,192,Townhouse,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-150433716
3390000,2-Jun-26,mosman,3,4,2,379,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-150415760
800000,29-May-26,mosman,1,1,0,40,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-148836792
2000000,19-May-26,mosman,2,2,2,154,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150833828
3000000,15-May-26,mosman,2,3,2,156,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149969460
1265000,13-May-26,mosman,1,2,0,67,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150960364
1500000,16-Apr-26,mosman,1,1,1,37,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150616400
1325000,16-Apr-26,mosman,2,2,1,116,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150727204
5300000,11-Apr-26,mosman,3,4,1,613,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-150578600
740000,9-Apr-26,mosman,1,1,0,58,Unit,https://www.realestate.com.au/sold/property-unit-nsw-mosman-150696876
1405000,1-Apr-26,mosman,1,2,1,101,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150576004
23000000,31-Mar-26,mosman,3,4,2,961.1,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-149267976
8500000,27-Mar-26,mosman,3,4,2,556.4,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-150397796
1037000,19-Mar-26,mosman,1,2,1,105,Unit,https://www.realestate.com.au/sold/property-unit-nsw-mosman-150000160
3900000,7-Mar-26,mosman,3,5,2,624,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-150200956
7700000,6-Mar-26,mosman,5,5,4,511,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-150128256
1100000,3-Mar-26,mosman,1,2,1,101.3,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150251784
3750000,27-Feb-26,mosman,2,3,1,296,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-150278904
4100000,19-Feb-26,mosman,2,3,2,172,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-150114112
3990000,16-Feb-26,mosman,2,4,0,233,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-150094808
1950000,31-Jan-26,mosman,1,2,0,92,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149021724
1805000,23-Jan-26,mosman,2,2,2,150,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149947020
775000,6-Dec-25,mosman,1,1,0,56,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149570384
11550000,5-Dec-25,mosman,4,7,3,715,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-149800272
4320000,5-Dec-25,mosman,2,4,1,321,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-149563044
750000,27-Nov-25,mosman,1,1,0,52,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149699416
1500000,21-Nov-25,mosman,2,2,2,139,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-149477808
15880000,19-Nov-25,mosman,4,5,2,788,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-146462796
11000000,17-Nov-25,mosman,5,5,3,879,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-149353956
10100000,14-Nov-25,mosman,3,6,2,695.6,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-148931724
3775000,14-Nov-25,mosman,2,4,0,389,Duplex/semi-detached,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-mosman-149349572
2200000,6-Nov-25,mosman,2,2,1,229,Unit,https://www.realestate.com.au/sold/property-unit-nsw-mosman-149356344
5230000,30-Oct-25,mosman,4,5,1,479.1,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-149215620
2907000,27-Oct-25,mosman,1,3,0,221,Duplex/semi-detached,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-mosman-149383600
2070000,22-Oct-25,mosman,1,2,1,110,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-mosman-148647560
20000000,9-Oct-25,mosman,5,5,2,920,House,https://www.realestate.com.au/sold/property-house-nsw-mosman-148993156
520000,11-Sep-26,parramatta,1,2,1,116,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151592404
660000,9-Sep-26,parramatta,2,2,1,122,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150842492
580000,4-Sep-26,parramatta,2,2,1,136,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-149706980
546000,1-Sep-26,parramatta,1,2,1,123,Unit,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-152000252
490000,1-Sep-26,parramatta,1,1,0,93,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-152037172
569000,31-Aug-26,parramatta,1,2,1,104,Unit,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151176568
720000,25-Aug-26,parramatta,2,3,1,189,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151973256
560000,25-Aug-26,parramatta,1,1,1,76,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-149992300
641000,21-Aug-26,parramatta,2,2,1,132,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151643420
600000,21-Aug-26,parramatta,1,1,1,72,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151458016
640000,13-Aug-26,parramatta,2,2,1,122,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151449756
780000,12-Aug-26,parramatta,1,2,1,251,Townhouse,https://www.realestate.com.au/sold/property-townhouse-nsw-parramatta-151891468
530000,12-Aug-26,parramatta,1,2,1,81,Unit,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151912828
657000,11-Aug-26,parramatta,2,2,1,145,Unit,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151435964
635000,7-Aug-26,parramatta,2,2,1,127,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150227964
400000,7-Aug-26,parramatta,1,1,1,81,Unit,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151414292
680000,4-Aug-26,parramatta,2,2,1,124,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151176520
588000,4-Aug-26,parramatta,1,2,1,150,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151782036
805000,31-Jul-26,parramatta,2,3,2,157,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151397752
530000,31-Jul-26,parramatta,1,1,1,79,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151786980
572000,29-Jul-26,parramatta,1,1,1,80,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150402052
667000,27-Jul-26,parramatta,1,2,2,122,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151713748
650000,25-Jul-26,parramatta,1,2,1,112,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151643160
800000,23-Jul-26,parramatta,2,3,2,149,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151730968
667000,22-Jul-26,parramatta,2,2,1,115,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151592424
532000,22-Jul-26,parramatta,1,2,2,136,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151324380
825000,21-Jul-26,parramatta,2,3,1,192,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150907148
583000,21-Jul-26,parramatta,1,2,2,111,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150904076
350000,21-Jul-26,parramatta,1,1,0,54,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-150676540
530000,17-Jul-26,parramatta,1,2,1,97,Unit,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151582864
660000,16-Jul-26,parramatta,2,2,1,115,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151195168
3425000,15-Jul-26,parramatta,6,12,6,903.4,Block of units,https://www.realestate.com.au/sold/property-unitblock-nsw-parramatta-150907780
832000,11-Jul-26,parramatta,2,2,1,103,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151165560
720000,10-Jul-26,parramatta,2,2,1,126,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151206472
2300000,27-Jun-26,parramatta,1,3,1,739,House,https://www.realestate.com.au/sold/property-house-nsw-parramatta-149921000
672000,26-Jun-26,parramatta,2,2,1,104,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151395048
600000,26-Jun-26,parramatta,2,2,1,116,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151266000
561000,24-Jun-26,parramatta,1,2,1,91,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151042080
515000,23-Jun-26,parramatta,1,1,1,70,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151028036
674000,22-Jun-26,parramatta,2,2,1,114,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151190280
415000,10-Sep-26,blacktown,1,2,1,103,Unit,https://www.realestate.com.au/sold/property-unit-nsw-blacktown-152073652
1300000,8-Sep-26,blacktown,1,4,1,696.77,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-149983288
415000,7-Sep-26,blacktown,1,2,1,63,Unit,https://www.realestate.com.au/sold/property-unit-nsw-blacktown-152037100
1070000,3-Sep-26,blacktown,1,4,2,638,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-152024064
1600000,1-Sep-26,blacktown,1,3,1,1182.4,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151555988
1480000,28-Aug-26,blacktown,3,5,4,563,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151694540
1062500,26-Aug-26,blacktown,1,3,1,575.4,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-152017640
1150000,24-Aug-26,blacktown,1,3,1,670,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151535008
1007500,24-Aug-26,blacktown,2,3,4,651,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151912132
790000,24-Aug-26,blacktown,2,2,1,126,Townhouse,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-151850860
1900000,22-Aug-26,blacktown,4,7,6,739.8,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151888376
435000,21-Aug-26,blacktown,2,2,1,122,Unit,https://www.realestate.com.au/sold/property-unit-nsw-blacktown-151691568
1235000,20-Aug-26,blacktown,2,4,6,556,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151824544
950000,18-Aug-26,blacktown,1,3,1,562.7,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151814988
880000,18-Aug-26,blacktown,1,3,2,569.1,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151539124
1030000,11-Aug-26,blacktown,1,3,1,556,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151691880
960000,11-Aug-26,blacktown,1,3,2,556,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151589056
1221000,8-Aug-26,blacktown,1,3,1,835,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151780948
900000,8-Aug-26,blacktown,1,3,1,562,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151632936
1080000,5-Aug-26,blacktown,2,5,1,560,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-150980712
920000,5-Aug-26,blacktown,2,3,2,236,Townhouse,https://www.realestate.com.au/sold/property-townhouse-nsw-blacktown-151056100
410000,5-Aug-26,blacktown,1,2,1,84,Unit,https://www.realestate.com.au/sold/property-unit-nsw-blacktown-151754320
1060000,3-Aug-26,blacktown,2,3,1,441.5,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151115652
432000,3-Aug-26,blacktown,1,2,1,61,Apartment,https://www.realestate.com.au/sold/property-apartment-nsw-blacktown-151301160
900000,31-Jul-26,blacktown,2,3,3,600.7,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151619392
900000,30-Jul-26,blacktown,1,3,2,600,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151309196
1700000,29-Jul-26,blacktown,4,7,2,584,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151489892
820000,29-Jul-26,blacktown,1,2,2,308,House,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151256088
